instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
C1_10_1,C1,BIH-ACO,2026,0,107,47296.990632,140535.679168
C1_10_1,C1,BIH-ACO,2026,1,107,47296.990632,140535.679168
C1_10_10,C1,BIH-ACO,2026,0,128,94419.158176,188137.803246
C1_10_10,C1,BIH-ACO,2026,1,125,76747.363176,182227.33851
C1_10_2,C1,BIH-ACO,2026,0,98,58203.711653,152181.151912
C1_10_2,C1,BIH-ACO,2026,1,98,58203.711653,152181.151912
C1_10_3,C1,BIH-ACO,2026,0,98,73352.658185,166828.679007
C1_10_3,C1,BIH-ACO,2026,1,98,73352.658185,166828.679007
C1_10_4,C1,BIH-ACO,2026,0,100,72041.647296,168841.860567
C1_10_4,C1,BIH-ACO,2026,1,100,72041.647296,168841.860567
C1_10_5,C1,BIH-ACO,2026,0,115,54791.678176,149335.664548
C1_10_5,C1,BIH-ACO,2026,1,115,54791.678176,149335.664548
C1_10_6,C1,BIH-ACO,2026,0,126,62167.758631,159456.178834
C1_10_6,C1,BIH-ACO,2026,1,126,62167.758631,159456.178834
C1_10_7,C1,BIH-ACO,2026,0,108,53106.56197,145153.109021
C1_10_7,C1,BIH-ACO,2026,1,108,53106.56197,145153.109021
C1_10_8,C1,BIH-ACO,2026,0,123,69676.837362,166790.654239
C1_10_8,C1,BIH-ACO,2026,1,123,69676.837362,166790.654239
C1_10_9,C1,BIH-ACO,2026,0,106,63627.325361,155492.99799
C1_10_9,C1,BIH-ACO,2026,1,106,63627.325361,155492.99799
C2_10_1,C2,BIH-ACO,2026,0,34,21880.385451,117411.514606
C2_10_1,C2,BIH-ACO,2026,1,34,21880.385451,117411.514606
C2_10_10,C2,BIH-ACO,2026,0,37,38106.759121,143201.891157
C2_10_10,C2,BIH-ACO,2026,1,37,38106.759121,143201.891157
C2_10_2,C2,BIH-ACO,2026,0,36,48347.11565,139805.219202
C2_10_2,C2,BIH-ACO,2026,1,36,48347.11565,139805.219202
C2_10_3,C2,BIH-ACO,2026,0,38,54348.179713,145687.200441
C2_10_3,C2,BIH-ACO,2026,1,38,54348.179713,145687.200441
C2_10_4,C2,BIH-ACO,2026,0,34,33913.376597,130931.408189
C2_10_4,C2,BIH-ACO,2026,1,34,33913.376597,130931.408189
C2_10_5,C2,BIH-ACO,2026,0,35,24019.610412,121420.142449
C2_10_5,C2,BIH-ACO,2026,1,35,24019.610412,121420.142449
C2_10_6,C2,BIH-ACO,2026,0,41,52551.450761,145431.195638
C2_10_6,C2,BIH-ACO,2026,1,41,52551.450761,145431.195638
C2_10_7,C2,BIH-ACO,2026,0,43,47542.148059,149302.580532
C2_10_7,C2,BIH-ACO,2026,1,43,47542.148059,149302.580532
C2_10_8,C2,BIH-ACO,2026,0,34,33777.110849,129832.284209
C2_10_8,C2,BIH-ACO,2026,1,34,33777.110849,129832.284209
C2_10_9,C2,BIH-ACO,2026,0,44,53484.893324,152025.707757
C2_10_9,C2,BIH-ACO,2026,1,44,53484.893324,152025.707757
R1_10_1,R1,BIH-ACO,2026,0,107,84531.161718,161902.070425
R1_10_1,R1,BIH-ACO,2026,1,107,84531.161718,161902.070425
R1_10_10,R1,BIH-ACO,2026,0,92,90971.062099,146950.055281
R1_10_10,R1,BIH-ACO,2026,1,92,90971.062099,146950.055281
R1_10_2,R1,BIH-ACO,2026,0,92,83100.98594,140236.822722
R1_10_2,R1,BIH-ACO,2026,1,92,83100.98594,140236.822722
R1_10_3,R1,BIH-ACO,2026,0,92,93988.471455,134220.907263
R1_10_3,R1,BIH-ACO,2026,1,92,93988.471455,134220.907263
R1_10_4,R1,BIH-ACO,2026,0,92,100274.407495,125454.880118
R1_10_4,R1,BIH-ACO,2026,1,92,100274.407495,125454.880118
R1_10_5,R1,BIH-ACO,2026,0,98,79890.36582,158744.726986
R1_10_5,R1,BIH-ACO,2026,1,98,79890.36582,158744.726986
R1_10_6,R1,BIH-ACO,2026,0,92,78983.170125,130553.943538
R1_10_6,R1,BIH-ACO,2026,1,92,78983.170125,130553.943538
R1_10_7,R1,BIH-ACO,2026,0,92,90672.776964,128513.119423
R1_10_7,R1,BIH-ACO,2026,1,92,90672.776964,128513.119423
R1_10_8,R1,BIH-ACO,2026,0,92,104187.104215,124925.936965
R1_10_8,R1,BIH-ACO,2026,1,92,104187.104215,124925.936965
R1_10_9,R1,BIH-ACO,2026,0,95,84878.800739,153264.94625
R1_10_9,R1,BIH-ACO,2026,1,95,84878.800739,153264.94625
R2_10_1,R2,BIH-ACO,2026,0,21,73442.537593,132868.462617
R2_10_1,R2,BIH-ACO,2026,1,21,73442.537593,132868.462617
R2_10_10,R2,BIH-ACO,2026,0,19,68782.320297,122282.947014
R2_10_10,R2,BIH-ACO,2026,1,19,68782.320297,122282.947014
R2_10_2,R2,BIH-ACO,2026,0,19,61067.524236,109219.954976
R2_10_2,R2,BIH-ACO,2026,1,19,61067.524236,109219.954976
R2_10_3,R2,BIH-ACO,2026,0,19,49421.877955,120730.425525
R2_10_3,R2,BIH-ACO,2026,1,19,49421.877955,120730.425525
R2_10_4,R2,BIH-ACO,2026,0,19,44273.179568,71678.847284
R2_10_4,R2,BIH-ACO,2026,1,19,44273.179568,71678.847284
R2_10_5,R2,BIH-ACO,2026,0,19,69610.030041,125126.643092
R2_10_5,R2,BIH-ACO,2026,1,19,69610.030041,125126.643092
R2_10_6,R2,BIH-ACO,2026,0,19,65076.257448,106484.344587
R2_10_6,R2,BIH-ACO,2026,1,19,65076.257448,106484.344587
R2_10_7,R2,BIH-ACO,2026,0,19,55333.003861,119273.697755
R2_10_7,R2,BIH-ACO,2026,1,19,55333.003861,119273.697755
R2_10_8,R2,BIH-ACO,2026,0,19,44200.285654,68174.535727
R2_10_8,R2,BIH-ACO,2026,1,19,44200.285654,68174.535727
R2_10_9,R2,BIH-ACO,2026,0,19,67314.854753,124389.197216
R2_10_9,R2,BIH-ACO,2026,1,19,67314.854753,124389.197216
RC1_10_1,RC1,BIH-ACO,2026,0,94,66172.195671,121723.394222
RC1_10_1,RC1,BIH-ACO,2026,1,94,66172.195671,121723.394222
RC1_10_10,RC1,BIH-ACO,2026,0,94,62265.794907,127750.041835
RC1_10_10,RC1,BIH-ACO,2026,1,94,62265.794907,127750.041835
RC1_10_2,RC1,BIH-ACO,2026,0,91,75687.828935,132180.385567
