instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
C1_10_1,C1,GWO,2026,1,725,358819.275238,725441.696611
C1_10_1,C1,GWO,2026,2,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,3,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,4,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,5,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,6,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,7,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,8,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,9,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,10,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,11,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,12,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,13,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,14,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,15,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,16,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,17,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,18,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,19,715,357223.607708,717104.530327
C1_10_1,C1,GWO,2026,20,715,357223.607708,717104.530327
C1_10_10,C1,GWO,2026,1,472,317093.135965,493484.236472
C1_10_10,C1,GWO,2026,2,472,317093.135965,493484.236472
C1_10_10,C1,GWO,2026,3,472,317093.135965,493484.236472
C1_10_10,C1,GWO,2026,4,468,320128.621134,495429.342702
C1_10_10,C1,GWO,2026,5,468,320128.621134,495429.342702
C1_10_10,C1,GWO,2026,6,467,318257.827016,493940.104693
C1_10_10,C1,GWO,2026,7,467,318257.827016,493940.104693
C1_10_10,C1,GWO,2026,8,467,318257.827016,493940.104693
C1_10_10,C1,GWO,2026,9,467,318257.827016,493940.104693
