instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
C1_10_1,C1,Standard ACO,2026,1,253,141351.156739,294362.909792
C1_10_1,C1,Standard ACO,2026,2,253,141351.156739,294362.909792
C1_10_10,C1,Standard ACO,2026,1,123,76573.364729,181256.620298
C1_10_10,C1,Standard ACO,2026,2,123,76573.364729,181256.620298
C1_10_2,C1,Standard ACO,2026,1,214,124213.183284,278164.325361
C1_10_2,C1,Standard ACO,2026,2,214,124213.183284,278164.325361
C1_10_3,C1,Standard ACO,2026,1,180,101064.678936,250184.733403
C1_10_3,C1,Standard ACO,2026,2,180,101064.678936,250184.733403
C1_10_4,C1,Standard ACO,2026,1,136,74567.903525,204616.445491
C1_10_4,C1,Standard ACO,2026,2,136,74567.903525,204616.445491
C1_10_5,C1,Standard ACO,2026,1,223,130174.044609,266653.564678
C1_10_5,C1,Standard ACO,2026,2,220,126035.085554,263812.609202
C1_10_6,C1,Standard ACO,2026,1,214,124433.320939,259396.363066
C1_10_6,C1,Standard ACO,2026,2,210,125035.049578,258203.013194
C1_10_7,C1,Standard ACO,2026,1,203,124215.529369,248066.782743
C1_10_7,C1,Standard ACO,2026,2,203,124215.529369,248066.782743
C1_10_8,C1,Standard ACO,2026,1,164,101543.145939,216202.479784
C1_10_8,C1,Standard ACO,2026,2,164,101543.145939,216202.479784
C1_10_9,C1,Standard ACO,2026,1,142,87202.041813,192960.220695
C1_10_9,C1,Standard ACO,2026,2,142,87202.041813,192960.220695
C2_10_1,C2,Standard ACO,2026,1,139,86344.173785,348511.268439
C2_10_1,C2,Standard ACO,2026,2,139,86344.173785,348511.268439
C2_10_10,C2,Standard ACO,2026,1,60,48322.384808,183243.230677
C2_10_2,C2,Standard ACO,2026,1,128,81020.159556,370735.216941
C2_10_2,C2,Standard ACO,2026,2,128,81020.159556,370735.216941
C2_10_3,C2,Standard ACO,2026,1,117,68498.065139,344099.881639
C2_10_4,C2,Standard ACO,2026,1,82,51209.854697,277574.24295
C2_10_5,C2,Standard ACO,2026,1,96,65565.694056,256271.883616
C2_10_5,C2,Standard ACO,2026,2,96,65565.694056,256271.883616
C2_10_6,C2,Standard ACO,2026,1,84,59412.148769,232087.178275
C2_10_7,C2,Standard ACO,2026,1,85,57660.277186,246098.562197
C2_10_8,C2,Standard ACO,2026,1,74,54956.664879,212645.961623
C2_10_9,C2,Standard ACO,2026,1,74,52436.922517,214770.908228
R1_10_1,R1,Standard ACO,2026,1,261,144134.728294,325041.483437
R1_10_1,R1,Standard ACO,2026,2,261,144134.728294,325041.483437
R1_10_10,R1,Standard ACO,2026,1,154,100435.860378,197244.802328
R1_10_10,R1,Standard ACO,2026,2,154,100435.860378,197244.802328
R1_10_2,R1,Standard ACO,2026,1,214,124159.941049,285942.138815
R1_10_2,R1,Standard ACO,2026,2,214,124159.941049,285942.138815
R1_10_3,R1,Standard ACO,2026,1,169,103786.347607,238872.176295
R1_10_3,R1,Standard ACO,2026,2,169,103786.347607,238872.176295
R1_10_4,R1,Standard ACO,2026,1,112,82516.875508,170545.988281
R1_10_4,R1,Standard ACO,2026,2,112,82516.875508,170545.988281
R1_10_5,R1,Standard ACO,2026,1,230,129230.01162,294264.830106
