instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds
C1_10_1,C1,ABC,2026,True,1000,714,355780.703563,714148.768792,90.411842
C1_10_10,C1,ABC,2026,True,1000,468,315713.010152,490397.951505,90.615122
C1_10_2,C1,ABC,2026,True,1000,581,335222.188022,636584.144533,92.092481
C1_10_3,C1,ABC,2026,True,1000,459,320397.563651,550930.009252,91.059492
C1_10_4,C1,ABC,2026,True,1000,344,304419.150966,465198.351822,90.202667
C1_10_5,C1,ABC,2026,True,1000,678,349879.212512,670843.655815,91.526222
C1_10_6,C1,ABC,2026,True,1000,660,338814.124056,646881.382681,90.54007
C1_10_7,C1,ABC,2026,True,1000,651,347505.668381,638566.400907,91.863124
C1_10_8,C1,ABC,2026,True,1000,600,336337.622208,597296.286681,90.70628
C1_10_9,C1,ABC,2026,True,1000,523,323142.204321,529669.423695,90.775028
C2_10_1,C2,ABC,2026,True,1000,522,283584.313944,1275870.017869,90.446192
C2_10_10,C2,ABC,2026,True,1000,343,263595.156565,827043.803279,90.573898
C2_10_2,C2,ABC,2026,True,1000,415,271831.042275,1040553.285248,91.222318
C2_10_3,C2,ABC,2026,True,1000,302,252462.970144,787389.149706,90.725217
C2_10_4,C2,ABC,2026,True,1000,194,246188.486975,562562.508971,90.275191
C2_10_5,C2,ABC,2026,True,1000,480,275424.146678,1174839.443907,92.253935
C2_10_6,C2,ABC,2026,True,1000,425,271001.308957,1026026.819511,91.416959
C2_10_7,C2,ABC,2026,True,1000,399,266236.540674,965540.007275,90.615144
C2_10_8,C2,ABC,2026,True,1000,395,273763.585449,966122.9232,90.414324
C2_10_9,C2,ABC,2026,True,1000,362,266621.708543,860277.73771,90.36086
R1_10_1,R1,ABC,2026,True,1000,634,335423.407587,752225.026743,90.686433
R1_10_10,R1,ABC,2026,True,1000,574,325899.375158,673153.921871,90.768511
R1_10_2,R1,ABC,2026,True,1000,513,315803.783742,620601.250978,90.060132
R1_10_3,R1,ABC,2026,True,1000,389,301063.797402,508084.204132,91.23927
R1_10_4,R1,ABC,2026,True,1000,268,281085.368097,389011.559304,90.137223
R1_10_5,R1,ABC,2026,True,1000,612,329459.90366,725869.743597,90.617452
R1_10_6,R1,ABC,2026,True,1000,500,318793.261636,611196.504025,90.061811
R1_10_7,R1,ABC,2026,True,1000,382,305005.414347,507032.61221,90.631077
R1_10_8,R1,ABC,2026,True,1000,272,284923.666377,387023.812864,90.066469
R1_10_9,R1,ABC,2026,True,1000,598,325860.257347,699171.283731,90.946333
R2_10_1,R2,ABC,2026,True,1000,502,322434.72514,2193869.339255,90.046677
R2_10_10,R2,ABC,2026,True,1000,450,308567.240984,1931588.147866,91.122892
R2_10_2,R2,ABC,2026,True,1000,388,304194.206826,1723207.354195,92.509745
R2_10_3,R2,ABC,2026,True,1000,267,288339.61822,1225892.503716,90.058727
R2_10_4,R2,ABC,2026,True,1000,148,269785.468515,735600.738853,92.046001
R2_10_5,R2,ABC,2026,True,1000,488,316305.390964,2082352.460116,91.004298
R2_10_6,R2,ABC,2026,True,1000,371,303395.954853,1644991.769272,90.753124
R2_10_7,R2,ABC,2026,True,1000,255,283339.566761,1186531.938707,90.48637
R2_10_8,R2,ABC,2026,True,1000,138,269961.346487,704055.662181,90.758713
R2_10_9,R2,ABC,2026,True,1000,464,315935.154803,2014228.767482,90.972029
RC1_10_1,RC1,ABC,2026,True,1000,689,349894.074569,575791.064567,90.163015
RC1_10_10,RC1,ABC,2026,True,1000,591,329289.41,503204.530415,90.331388
RC1_10_2,RC1,ABC,2026,True,1000,550,332205.203203,487656.361618,90.171031
RC1_10_3,RC1,ABC,2026,True,1000,420,306913.096573,425587.301487,90.855226
RC1_10_4,RC1,ABC,2026,True,1000,284,294107.882313,360767.027732,90.085994
RC1_10_5,RC1,ABC,2026,True,1000,652,340154.552015,546750.563597,90.18814
RC1_10_6,RC1,ABC,2026,True,1000,661,343949.951623,555913.327016,90.382553
RC1_10_7,RC1,ABC,2026,True,1000,630,335319.413572,530613.184639,90.414339
RC1_10_8,RC1,ABC,2026,True,1000,602,329026.448788,516045.417133,90.536513
RC1_10_9,RC1,ABC,2026,True,1000,617,328827.721565,520206.656289,90.948082
RC2_10_1,RC2,ABC,2026,True,1000,516,325757.636629,1584831.654666,90.63483
RC2_10_10,RC2,ABC,2026,True,1000,402,310952.581707,1319740.855703,90.64189
RC2_10_2,RC2,ABC,2026,True,1000,407,319376.750267,1243714.58065,90.073586
RC2_10_3,RC2,ABC,2026,True,1000,297,301827.612428,893992.079497,90.630707
RC2_10_4,RC2,ABC,2026,True,1000,165,280904.953319,572562.484485,90.597628
RC2_10_5,RC2,ABC,2026,True,1000,477,315754.346869,1504090.854515,90.927977
RC2_10_6,RC2,ABC,2026,True,1000,498,324690.202053,1543109.719689,90.137435
RC2_10_7,RC2,ABC,2026,True,1000,460,318568.28952,1475818.666224,90.503902
RC2_10_8,RC2,ABC,2026,True,1000,437,315053.381574,1431591.367334,90.66339
RC2_10_9,RC2,ABC,2026,True,1000,429,315619.358328,1390837.549557,90.548312
