instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
C1_10_1,C1,ABC,2026.0,True,1000,714,355780.703563,714148.768792,90.411842,-567.2897196261682,-652.2269362361659,-408.16189384781643
C1_10_10,C1,ABC,2026.0,True,1000,468,315713.010152,490397.951505,90.615122,-265.625,-234.37388793861302,-160.6589122675038
C1_10_2,C1,ABC,2026.0,True,1000,581,335222.188022,636584.144533,92.092481,-492.8571428571429,-475.9464104635356,-318.30682481698517
C1_10_3,C1,ABC,2026.0,True,1000,459,320397.563651,550930.009252,91.059492,-368.3673469387755,-336.79066523115944,-230.2369907447888
C1_10_4,C1,ABC,2026.0,True,1000,344,304419.150966,465198.351822,90.202667,-244.0,-322.55995301609715,-175.5231139125001
C1_10_5,C1,ABC,2026.0,True,1000,678,349879.212512,670843.655815,91.526222,-489.5652173913043,-538.5626871805781,-349.21864970800397
C1_10_6,C1,ABC,2026.0,True,1000,660,338814.124056,646881.382681,90.54007,-423.8095238095238,-444.99974185501685,-305.67972179643687
C1_10_7,C1,ABC,2026.0,True,1000,651,347505.668381,638566.400907,91.863124,-502.77777777777777,-554.3554233040102,-339.9260926713016
C1_10_8,C1,ABC,2026.0,True,1000,600,336337.622208,597296.286681,90.70628,-387.8048780487805,-382.71080453980255,-258.1113638568225
C1_10_9,C1,ABC,2026.0,True,1000,523,323142.204321,529669.423695,90.775028,-393.39622641509436,-407.8670248790123,-240.63876222199013
C2_10_1,C2,ABC,2026.0,True,1000,522,283584.313944,1275870.017869,90.446192,-1435.2941176470588,-1196.066353945512,-986.6651555858562
C2_10_10,C2,ABC,2026.0,True,1000,343,263595.156565,827043.803279,90.573898,-827.027027027027,-591.7280887834333,-477.5369281766447
C2_10_2,C2,ABC,2026.0,True,1000,415,271831.042275,1040553.285248,91.222318,-1052.7777777777778,-462.2487269827441,-644.2878679261169
C2_10_3,C2,ABC,2026.0,True,1000,302,252462.970144,787389.149706,90.725217,-694.7368421052632,-364.5288425062215,-440.46556411444993
C2_10_4,C2,ABC,2026.0,True,1000,194,246188.486975,562562.508971,90.275191,-470.5882352941177,-625.9332796628042,-329.662001464873
C2_10_5,C2,ABC,2026.0,True,1000,480,275424.146678,1174839.443907,92.253935,-1271.4285714285713,-1046.6636716988562,-867.5820009851057
C2_10_6,C2,ABC,2026.0,True,1000,425,271001.308957,1026026.819511,91.416959,-936.5853658536585,-415.68758813052244,-605.5066933953663
C2_10_7,C2,ABC,2026.0,True,1000,399,266236.540674,965540.007275,90.615144,-827.9069767441861,-460.00107597914877,-546.7001466649506
C2_10_8,C2,ABC,2026.0,True,1000,395,273763.585449,966122.9232,90.414324,-1061.764705882353,-710.500302032508,-644.1314994079323
C2_10_9,C2,ABC,2026.0,True,1000,362,266621.708543,860277.73771,90.36086,-722.7272727272727,-398.49909380554044,-465.8764891823953
R1_10_1,R1,ABC,2026.0,True,1000,634,335423.407587,752225.026743,90.686433,-492.5233644859813,-296.8044455676458,-364.61729906750196
R1_10_10,R1,ABC,2026.0,True,1000,574,325899.375158,673153.921871,90.768511,-523.9130434782609,-258.2451030453369,-358.08347644632414
R1_10_2,R1,ABC,2026.0,True,1000,513,315803.783742,620601.250978,90.060132,-457.60869565217394,-280.0241118318554,-342.5380145757121
R1_10_3,R1,ABC,2026.0,True,1000,389,301063.797402,508084.204132,91.23927,-322.82608695652175,-220.31992088108802,-278.54326460216157
R1_10_4,R1,ABC,2026.0,True,1000,268,281085.368097,389011.559304,90.137223,-191.30434782608697,-180.31615954551094,-210.08085053216314
R1_10_5,R1,ABC,2026.0,True,1000,612,329459.90366,725869.743597,90.617452,-524.4897959183673,-312.39003010989086,-357.25597150764946
R1_10_6,R1,ABC,2026.0,True,1000,500,318793.261636,611196.504025,90.061811,-443.47826086956525,-303.6217603465052,-368.1562942195619
R1_10_7,R1,ABC,2026.0,True,1000,382,305005.414347,507032.61221,90.631077,-315.2173913043478,-236.3803608530672,-294.53762735390916
R1_10_8,R1,ABC,2026.0,True,1000,272,284923.666377,387023.812864,90.066469,-195.65217391304347,-173.4730641798364,-209.8026096633807
R1_10_9,R1,ABC,2026.0,True,1000,598,325860.257347,699171.283731,90.946333,-529.4736842105264,-283.9124192494324,-356.18473162841696
R2_10_1,R2,ABC,2026.0,True,1000,502,322434.72514,2193869.339255,90.046677,-2290.4761904761904,-339.0299351131518,-1551.1588198163608
R2_10_10,R2,ABC,2026.0,True,1000,450,308567.240984,1931588.147866,91.122892,-2268.421052631579,-348.6141782533882,-1479.6054928614494
R2_10_2,R2,ABC,2026.0,True,1000,388,304194.206826,1723207.354195,92.509745,-1942.1052631578948,-398.1276228759804,-1477.740399704118
R2_10_3,R2,ABC,2026.0,True,1000,267,288339.61822,1225892.503716,90.058727,-1305.2631578947369,-483.4250541481675,-915.3964904746822
R2_10_4,R2,ABC,2026.0,True,1000,148,269785.468515,735600.738853,92.046001,-678.9473684210526,-509.3654694500347,-926.2452128149656
R2_10_5,R2,ABC,2026.0,True,1000,488,316305.390964,2082352.460116,91.004298,-2468.421052631579,-354.3962856756383,-1564.195896780304
R2_10_6,R2,ABC,2026.0,True,1000,371,303395.954853,1644991.769272,90.753124,-1852.6315789473686,-366.21604675934594,-1444.820297905864
R2_10_7,R2,ABC,2026.0,True,1000,255,283339.566761,1186531.938707,90.48637,-1242.1052631578948,-412.0625069854637,-894.7976469583883
R2_10_8,R2,ABC,2026.0,True,1000,138,269961.346487,704055.662181,90.758713,-626.3157894736843,-510.7683298706674,-932.7252759011666
R2_10_9,R2,ABC,2026.0,True,1000,464,315935.154803,2014228.767482,90.972029,-2342.105263157895,-369.3394288114686,-1519.2955759528872
RC1_10_1,RC1,ABC,2026.0,True,1000,689,349894.074569,575791.064567,90.163015,-632.9787234042553,-428.76298122043625,-373.0323766003995
RC1_10_10,RC1,ABC,2026.0,True,1000,591,329289.41,503204.530415,90.331388,-528.7234042553192,-428.8447862776435,-293.8977421744654
RC1_10_2,RC1,ABC,2026.0,True,1000,550,332205.203203,487656.361618,90.171031,-504.3956043956044,-338.91495882157585,-268.93247021950566
RC1_10_3,RC1,ABC,2026.0,True,1000,420,306913.096573,425587.301487,90.855226,-361.53846153846155,-284.8400166186214,-249.70088545881336
