instance,best_algorithm,best_vehicles,best_distance,best_travel_time,best_runtime
C1_10_1,BIH-ACO,107,47296.990632,140535.679168,93.043135
C1_10_10,Standard ACO,123,76573.364729,181256.620298,94.01315
C1_10_2,BIH-ACO,98,58203.711653,152181.151912,92.049703
C1_10_3,BIH-ACO,98,73352.658185,166828.679007,100.443934
C1_10_4,BIH-ACO,100,72041.647296,168841.860567,102.694034
C1_10_5,BIH-ACO,115,54791.678176,149335.664548,104.330557
C1_10_6,BIH-ACO,126,62167.758631,159456.178834,91.279696
C1_10_7,BIH-ACO,108,53106.56197,145153.109021,90.794171
C1_10_8,BIH-ACO,123,69676.837362,166790.654239,94.056524
C1_10_9,BIH-ACO,106,63627.325361,155492.99799,105.437967
C2_10_1,BIH-ACO,34,21880.385451,117411.514606,99.923015
C2_10_10,BIH-ACO,37,38106.759121,143201.891157,110.418497
C2_10_2,BIH-ACO,36,48347.11565,139805.219202,94.789655
C2_10_3,BIH-ACO,38,54348.179713,145687.200441,110.733617
C2_10_4,BIH-ACO,34,33913.376597,130931.408189,93.905509
C2_10_5,BIH-ACO,35,24019.610412,121420.142449,116.563505
C2_10_6,BIH-ACO,41,52551.450761,145431.195638,92.574777
C2_10_7,BIH-ACO,43,47542.148059,149302.580532,115.555568
C2_10_8,BIH-ACO,34,33777.110849,129832.284209,94.877197
C2_10_9,BIH-ACO,44,53484.893324,152025.707757,102.651392
R1_10_1,BIH-ACO,107,84531.161718,161902.070425,96.349157
R1_10_10,BIH-ACO,92,90971.062099,146950.055281,105.206364
R1_10_2,BIH-ACO,92,83100.98594,140236.822722,107.319657
R1_10_3,BIH-ACO,92,93988.471455,134220.907263,99.048313
R1_10_4,BIH-ACO,92,100274.407495,125454.880118,90.286584
R1_10_5,BIH-ACO,98,79890.36582,158744.726986,103.369965
R1_10_6,BIH-ACO,92,78983.170125,130553.943538,106.830409
R1_10_7,BIH-ACO,92,90672.776964,128513.119423,95.443519
R1_10_8,BIH-ACO,92,104187.104215,124925.936965,106.708055
R1_10_9,BIH-ACO,95,84878.800739,153264.94625,91.564489
R2_10_1,BIH-ACO,21,73442.537593,132868.462617,105.119933
R2_10_10,BIH-ACO,19,68782.320297,122282.947014,99.236177
R2_10_2,BIH-ACO,19,61067.524236,109219.954976,113.918465
R2_10_3,BIH-ACO,19,49421.877955,120730.425525,131.540584
R2_10_4,BIH-ACO,19,44273.179568,71678.847284,132.934008
R2_10_5,BIH-ACO,19,69610.030041,125126.643092,101.328217
R2_10_6,BIH-ACO,19,65076.257448,106484.344587,90.449677
R2_10_7,BIH-ACO,19,55333.003861,119273.697755,100.843429
R2_10_8,BIH-ACO,19,44200.285654,68174.535727,141.170916
R2_10_9,BIH-ACO,19,67314.854753,124389.197216,95.094222
RC1_10_1,BIH-ACO,94,66172.195671,121723.394222,102.879802
RC1_10_10,BIH-ACO,94,62265.794907,127750.041835,99.928123
RC1_10_2,BIH-ACO,91,75687.828935,132180.385567,93.406303
RC1_10_3,BIH-ACO,91,79750.82718,121700.378576,102.894524
RC1_10_4,BIH-ACO,90,87935.090113,118086.39501,107.461228
RC1_10_5,BIH-ACO,94,66828.56309,124990.300313,102.422557
RC1_10_6,BIH-ACO,96,65668.869913,126303.224796,107.761575
RC1_10_7,BIH-ACO,94,67519.276399,123132.725947,93.037094
RC1_10_8,BIH-ACO,96,61733.307498,130151.71107,96.388039
RC1_10_9,BIH-ACO,95,63187.296271,131615.74716,95.634468
RC2_10_1,BIH-ACO,28,49611.830664,155591.72992,96.563313
RC2_10_10,BIH-ACO,19,40974.60632,114862.266882,96.702297
RC2_10_2,BIH-ACO,24,42116.609663,135235.459022,100.790536
RC2_10_3,BIH-ACO,21,31942.650335,108315.824876,111.401879
RC2_10_4,BIH-ACO,18,26843.930997,83946.889153,113.997608
RC2_10_5,BIH-ACO,23,47878.216335,134197.737185,94.107466
RC2_10_6,BIH-ACO,23,38572.878052,143533.992719,92.025319
RC2_10_7,BIH-ACO,21,36274.129931,129840.13951,94.428859
RC2_10_8,BIH-ACO,19,38866.931375,118861.302471,107.352507
RC2_10_9,BIH-ACO,20,41129.212094,122894.83639,108.201798
