instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds
C1_10_1,C1,BIH,,True,1000,107,47296.990632,140535.679168,289.414912
C1_10_10,C1,BIH,,True,1000,128,94419.158176,188137.803246,327.62461
C1_10_2,C1,BIH,,True,1000,98,58203.711653,152181.151912,434.617194
C1_10_3,C1,BIH,,True,1000,98,73352.658185,166828.679007,512.2493
C1_10_4,C1,BIH,,True,1000,100,72041.647296,168841.860567,494.695691
C1_10_5,C1,BIH,,True,1000,115,54791.678176,149335.664548,390.848392
C1_10_6,C1,BIH,,True,1000,126,62167.758631,159456.178834,407.222422
C1_10_7,C1,BIH,,True,1000,108,53106.56197,145153.109021,446.650542
C1_10_8,C1,BIH,,True,1000,123,69676.837362,166790.654239,413.79166
C1_10_9,C1,BIH,,True,1000,106,63627.325361,155492.99799,446.082587
C2_10_1,C2,BIH,,True,1000,34,21880.385451,117411.514606,908.307114
C2_10_10,C2,BIH,,True,1000,37,38106.759121,143201.891157,941.970748
C2_10_2,C2,BIH,,True,1000,36,48347.11565,139805.219202,976.899378
C2_10_3,C2,BIH,,True,1000,38,54348.179713,145687.200441,1065.421927
C2_10_4,C2,BIH,,True,1000,34,33913.376597,130931.408189,1134.784008
C2_10_5,C2,BIH,,True,1000,35,24019.610412,121420.142449,953.766444
C2_10_6,C2,BIH,,True,1000,41,52551.450761,145431.195638,843.331518
C2_10_7,C2,BIH,,True,1000,43,47542.148059,149302.580532,818.317609
C2_10_8,C2,BIH,,True,1000,34,33777.110849,129832.284209,923.740469
C2_10_9,C2,BIH,,True,1000,44,53484.893324,152025.707757,796.162919
R1_10_1,R1,BIH,,True,1000,107,84531.161718,161902.070425,465.51165
R1_10_10,R1,BIH,,True,1000,92,90971.062099,146950.055281,492.346645
R1_10_2,R1,BIH,,True,1000,92,83100.98594,140236.822722,499.980727
R1_10_3,R1,BIH,,True,1000,92,93988.471455,134220.907263,531.388622
R1_10_4,R1,BIH,,True,1000,92,100274.407495,125454.880118,562.259631
R1_10_5,R1,BIH,,True,1000,98,79890.36582,158744.726986,490.572737
R1_10_6,R1,BIH,,True,1000,92,78983.170125,130553.943538,533.229315
R1_10_7,R1,BIH,,True,1000,92,90672.776964,128513.119423,547.943354
R1_10_8,R1,BIH,,True,1000,92,104187.104215,124925.936965,549.024525
R1_10_9,R1,BIH,,True,1000,95,84878.800739,153264.94625,492.050462
R2_10_1,R2,BIH,,True,1000,21,73442.537593,132868.462617,1493.139734
R2_10_10,R2,BIH,,True,1000,19,68782.320297,122282.947014,1797.105137
R2_10_2,R2,BIH,,True,1000,19,61067.524236,109219.954976,2040.374428
R2_10_3,R2,BIH,,True,1000,19,49421.877955,120730.425525,2409.898582
R2_10_4,R2,BIH,,True,1000,19,44273.179568,71678.847284,2244.970094
R2_10_5,R2,BIH,,True,1000,19,69610.030041,125126.643092,1861.931562
R2_10_6,R2,BIH,,True,1000,19,65076.257448,106484.344587,2048.530308
R2_10_7,R2,BIH,,True,1000,19,55333.003861,119273.697755,2775.400549
R2_10_8,R2,BIH,,True,1000,19,44200.285654,68174.535727,3000.862027
R2_10_9,R2,BIH,,True,1000,19,67314.854753,124389.197216,2444.665146
RC1_10_1,RC1,BIH,,True,1000,94,66172.195671,121723.394222,663.154813
RC1_10_10,RC1,BIH,,True,1000,94,62265.794907,127750.041835,706.202065
RC1_10_2,RC1,BIH,,True,1000,91,75687.828935,132180.385567,690.468046
RC1_10_3,RC1,BIH,,True,1000,91,79750.82718,121700.378576,718.456475
RC1_10_4,RC1,BIH,,True,1000,90,87935.090113,118086.39501,779.053399
RC1_10_5,RC1,BIH,,True,1000,94,66828.56309,124990.300313,671.657779
RC1_10_6,RC1,BIH,,True,1000,96,65668.869913,126303.224796,679.391291
RC1_10_7,RC1,BIH,,True,1000,94,67519.276399,123132.725947,692.316332
RC1_10_8,RC1,BIH,,True,1000,96,61733.307498,130151.71107,707.996339
RC1_10_9,RC1,BIH,,True,1000,95,63187.296271,131615.74716,721.258773
RC2_10_1,RC2,BIH,,True,1000,28,49611.830664,155591.72992,1761.903012
RC2_10_10,RC2,BIH,,True,1000,19,40974.60632,114862.266882,1711.660105
RC2_10_2,RC2,BIH,,True,1000,24,42116.609663,135235.459022,2108.701899
RC2_10_3,RC2,BIH,,True,1000,21,31942.650335,108315.824876,2315.488454
RC2_10_4,RC2,BIH,,True,1000,18,26843.930997,83946.889153,2678.167249
RC2_10_5,RC2,BIH,,True,1000,23,47878.216335,134197.737185,1956.734461
RC2_10_6,RC2,BIH,,True,1000,23,38572.878052,143533.992719,1997.209827
RC2_10_7,RC2,BIH,,True,1000,21,36274.129931,129840.13951,1955.188299
RC2_10_8,RC2,BIH,,True,1000,19,38866.931375,118861.302471,2122.711535
RC2_10_9,RC2,BIH,,True,1000,20,41129.212094,122894.83639,2094.57173
