instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds
C1_10_1,C1,GWO,2026,True,1000,715,357223.607708,717104.530327,46.73246
C1_10_10,C1,GWO,2026,True,1000,461,316017.288493,488233.620587,49.874036
C1_10_2,C1,GWO,2026,True,1000,581,339842.379244,639469.033498,50.971726
C1_10_3,C1,GWO,2026,True,1000,457,316260.063597,547557.245951,49.836044
C1_10_4,C1,GWO,2026,True,1000,339,300842.235812,458386.515491,47.591389
C1_10_5,C1,GWO,2026,True,1000,670,345249.999944,667900.199533,54.898344
C1_10_6,C1,GWO,2026,True,1000,659,342998.683565,654162.531857,53.137441
C1_10_7,C1,GWO,2026,True,1000,632,340322.372318,624701.741986,52.361885
C1_10_8,C1,GWO,2026,True,1000,605,334710.536545,594147.818007,52.091826
C1_10_9,C1,GWO,2026,True,1000,523,321727.80197,531432.925791,51.673151
C2_10_1,C2,GWO,2026,True,1000,520,282477.351429,1264675.88945,51.928002
C2_10_10,C2,GWO,2026,True,1000,347,262109.270339,834376.549208,48.097312
C2_10_2,C2,GWO,2026,True,1000,411,270526.80848,1036149.865667,50.654532
C2_10_3,C2,GWO,2026,True,1000,302,255155.073612,801905.898657,44.563824
C2_10_4,C2,GWO,2026,True,1000,189,247152.393897,549475.789466,43.31286
C2_10_5,C2,GWO,2026,True,1000,470,276538.571966,1135110.584055,51.143694
C2_10_6,C2,GWO,2026,True,1000,430,270591.271894,1045433.248558,50.087404
C2_10_7,C2,GWO,2026,True,1000,399,267357.112009,981411.365828,50.16192
C2_10_8,C2,GWO,2026,True,1000,397,270365.371138,954192.247667,50.161657
C2_10_9,C2,GWO,2026,True,1000,355,261562.271801,864760.540889,49.624447
R1_10_1,R1,GWO,2026,True,1000,627,332991.073456,738281.972582,53.374287
R1_10_10,R1,GWO,2026,True,1000,569,323356.621867,661209.782374,54.474875
R1_10_2,R1,GWO,2026,True,1000,504,317218.169608,620599.645162,52.786112
R1_10_3,R1,GWO,2026,True,1000,387,303377.397976,511720.465156,50.323053
R1_10_4,R1,GWO,2026,True,1000,267,284882.873409,390938.370624,45.115267
R1_10_5,R1,GWO,2026,True,1000,614,327088.216997,728657.348644,54.780675
R1_10_6,R1,GWO,2026,True,1000,495,311380.817408,618620.543088,52.446544
R1_10_7,R1,GWO,2026,True,1000,380,302558.380396,502244.083756,49.780903
R1_10_8,R1,GWO,2026,True,1000,263,279515.324264,380423.99511,43.991689
R1_10_9,R1,GWO,2026,True,1000,593,322834.909334,698832.22791,54.314405
R2_10_1,R2,GWO,2026,True,1000,497,317664.085108,2137622.025761,52.032759
R2_10_10,R2,GWO,2026,True,1000,439,316222.685971,1891077.452028,51.043341
R2_10_2,R2,GWO,2026,True,1000,381,305057.144298,1670478.390302,50.391886
R2_10_3,R2,GWO,2026,True,1000,263,287669.663628,1200981.377711,45.536894
R2_10_4,R2,GWO,2026,True,1000,146,273241.852008,711440.497301,43.618479
R2_10_5,R2,GWO,2026,True,1000,479,314094.247705,2091207.200155,50.907143
R2_10_6,R2,GWO,2026,True,1000,369,311061.241835,1627677.392233,49.895235
R2_10_7,R2,GWO,2026,True,1000,255,290673.477405,1179185.779361,45.447987
R2_10_8,R2,GWO,2026,True,1000,145,265338.59892,711243.486882,43.2838
R2_10_9,R2,GWO,2026,True,1000,464,314432.973455,1965587.087068,50.795799
RC1_10_1,RC1,GWO,2026,True,1000,681,347842.46986,570027.809679,56.982703
RC1_10_10,RC1,GWO,2026,True,1000,589,329841.099864,503231.416928,54.929788
RC1_10_2,RC1,GWO,2026,True,1000,550,332258.968771,501923.804504,53.442927
RC1_10_3,RC1,GWO,2026,True,1000,411,308936.172011,416266.173171,51.797642
RC1_10_4,RC1,GWO,2026,True,1000,284,295097.924253,360949.814348,44.912897
RC1_10_5,RC1,GWO,2026,True,1000,655,338106.843941,547064.488975,56.469751
RC1_10_6,RC1,GWO,2026,True,1000,658,340206.017261,554170.802903,57.256587
RC1_10_7,RC1,GWO,2026,True,1000,634,336426.386815,541589.655896,56.285039
RC1_10_8,RC1,GWO,2026,True,1000,615,336069.685177,521401.021961,55.206476
RC1_10_9,RC1,GWO,2026,True,1000,611,331884.135834,513454.921319,56.680874
RC2_10_1,RC2,GWO,2026,True,1000,524,324011.613523,1616699.265783,54.288361
RC2_10_10,RC2,GWO,2026,True,1000,396,306881.68095,1337716.778755,50.627238
RC2_10_2,RC2,GWO,2026,True,1000,409,314909.042269,1249781.128435,51.738227
RC2_10_3,RC2,GWO,2026,True,1000,293,303133.267898,894344.7877,45.4241
RC2_10_4,RC2,GWO,2026,True,1000,160,284811.588419,555462.31155,44.332948
RC2_10_5,RC2,GWO,2026,True,1000,471,321734.643553,1495081.069582,52.210308
RC2_10_6,RC2,GWO,2026,True,1000,484,325783.631881,1506858.251963,51.545983
RC2_10_7,RC2,GWO,2026,True,1000,449,316701.207755,1452986.846916,51.481736
RC2_10_8,RC2,GWO,2026,True,1000,431,316632.016173,1415899.592686,51.592908
RC2_10_9,RC2,GWO,2026,True,1000,424,312079.140217,1382141.788602,52.373518
