instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds
C1_10_1,C1,Standard ACO,2026,True,1000,253,141351.156739,294362.909792,95.013112
C1_10_10,C1,Standard ACO,2026,True,1000,123,76573.364729,181256.620298,94.01315
C1_10_2,C1,Standard ACO,2026,True,1000,214,124213.183284,278164.325361,90.402651
C1_10_3,C1,Standard ACO,2026,True,1000,180,101064.678936,250184.733403,90.085514
C1_10_4,C1,Standard ACO,2026,True,1000,136,74567.903525,204616.445491,91.197764
C1_10_5,C1,Standard ACO,2026,True,1000,220,126035.085554,263812.609202,90.071984
C1_10_6,C1,Standard ACO,2026,True,1000,210,125035.049578,258203.013194,92.62919
C1_10_7,C1,Standard ACO,2026,True,1000,203,124215.529369,248066.782743,94.636576
C1_10_8,C1,Standard ACO,2026,True,1000,164,101543.145939,216202.479784,93.877736
C1_10_9,C1,Standard ACO,2026,True,1000,142,87202.041813,192960.220695,95.98485
C2_10_1,C2,Standard ACO,2026,True,1000,139,86344.173785,348511.268439,94.748207
C2_10_10,C2,Standard ACO,2026,True,1000,60,48322.384808,183243.230677,97.384776
C2_10_2,C2,Standard ACO,2026,True,1000,128,81020.159556,370735.216941,93.947328
C2_10_3,C2,Standard ACO,2026,True,1000,117,68498.065139,344099.881639,90.599252
C2_10_4,C2,Standard ACO,2026,True,1000,82,51209.854697,277574.24295,90.861061
C2_10_5,C2,Standard ACO,2026,True,1000,96,65565.694056,256271.883616,96.216767
C2_10_6,C2,Standard ACO,2026,True,1000,84,59412.148769,232087.178275,99.620849
C2_10_7,C2,Standard ACO,2026,True,1000,85,57660.277186,246098.562197,94.231197
C2_10_8,C2,Standard ACO,2026,True,1000,74,54956.664879,212645.961623,92.125329
C2_10_9,C2,Standard ACO,2026,True,1000,74,52436.922517,214770.908228,93.478094
R1_10_1,R1,Standard ACO,2026,True,1000,261,144134.728294,325041.483437,92.798662
R1_10_10,R1,Standard ACO,2026,True,1000,154,100435.860378,197244.802328,94.698874
R1_10_2,R1,Standard ACO,2026,True,1000,214,124159.941049,285942.138815,92.475887
R1_10_3,R1,Standard ACO,2026,True,1000,169,103786.347607,238872.176295,95.265627
R1_10_4,R1,Standard ACO,2026,True,1000,112,82516.875508,170545.988281,94.853664
R1_10_5,R1,Standard ACO,2026,True,1000,230,129230.01162,294264.830106,95.665632
R1_10_6,R1,Standard ACO,2026,True,1000,197,117877.270945,267768.407209,94.208701
R1_10_7,R1,Standard ACO,2026,True,1000,156,98737.465188,223542.27961,93.422288
R1_10_8,R1,Standard ACO,2026,True,1000,112,81255.564624,168750.694337,93.354014
R1_10_9,R1,Standard ACO,2026,True,1000,202,116474.635699,255698.636512,95.104287
R2_10_1,R2,Standard ACO,2026,True,1000,150,114409.617386,644670.846457,94.965205
R2_10_10,R2,Standard ACO,2026,True,1000,77,85244.132299,317404.234905,98.634878
R2_10_2,R2,Standard ACO,2026,True,1000,128,108012.866067,546361.700049,93.742431
R2_10_3,R2,Standard ACO,2026,True,1000,90,86625.115207,423794.391304,110.615142
R2_10_4,R2,Standard ACO,2026,True,1000,55,63580.351408,285346.38266,107.141547
R2_10_5,R2,Standard ACO,2026,True,1000,120,103238.060463,487517.608869,95.404372
R2_10_6,R2,Standard ACO,2026,True,1000,97,94944.525665,437069.609222,90.339619
R2_10_7,R2,Standard ACO,2026,True,1000,73,79590.870408,339190.498507,97.52802
R2_10_8,R2,Standard ACO,2026,True,1000,49,60291.604504,248740.852982,114.064013
R2_10_9,R2,Standard ACO,2026,True,1000,105,94643.546535,447068.973788,95.897348
RC1_10_1,RC1,Standard ACO,2026,True,1000,197,115383.723756,205174.507457,90.426076
RC1_10_10,RC1,Standard ACO,2026,True,1000,121,80782.453727,143084.744466,94.083266
RC1_10_2,RC1,Standard ACO,2026,True,1000,170,103405.173129,197631.844131,90.609402
RC1_10_3,RC1,Standard ACO,2026,True,1000,141,87988.71772,171266.436699,91.062148
RC1_10_4,RC1,Standard ACO,2026,True,1000,117,78539.010373,143648.262505,96.329515
RC1_10_5,RC1,Standard ACO,2026,True,1000,170,101267.38829,185479.172165,93.111758
RC1_10_6,RC1,Standard ACO,2026,True,1000,161,95564.249651,181117.897877,91.828704
RC1_10_7,RC1,Standard ACO,2026,True,1000,149,90851.796996,167641.600446,92.05501
RC1_10_8,RC1,Standard ACO,2026,True,1000,132,81620.583577,152637.091502,95.156604
RC1_10_9,RC1,Standard ACO,2026,True,1000,132,83815.482643,154796.222242,92.568509
RC2_10_1,RC2,Standard ACO,2026,True,1000,112,88574.980078,403836.835606,92.065918
RC2_10_10,RC2,Standard ACO,2026,True,1000,46,60811.4177,179979.276669,97.044557
RC2_10_2,RC2,Standard ACO,2026,True,1000,96,83418.694942,362048.197283,104.987355
RC2_10_3,RC2,Standard ACO,2026,True,1000,75,71045.014879,285506.485621,96.712397
RC2_10_4,RC2,Standard ACO,2026,True,1000,48,54771.136647,195195.582857,90.263054
RC2_10_5,RC2,Standard ACO,2026,True,1000,81,75404.207295,299684.838831,96.398647
RC2_10_6,RC2,Standard ACO,2026,True,1000,82,77657.795136,308419.362534,92.714944
RC2_10_7,RC2,Standard ACO,2026,True,1000,73,67393.841768,266728.214851,92.083715
RC2_10_8,RC2,Standard ACO,2026,True,1000,62,67431.669179,229197.042154,91.742251
RC2_10_9,RC2,Standard ACO,2026,True,1000,55,66613.018267,211193.718461,96.151786
