instance,group,algorithm,seed,route_id,customer_sequence,load,distance,travel_time,feasible
C1_10_1,C1,BIH-ACO,2026,1,183 36 663 714 561 498 438 22 311 893,160.0,43.911165,943.911165,True
C1_10_1,C1,BIH-ACO,2026,2,615 800 808 926 964 988 277 286 824 355,180.0,133.016548,1033.016548,True
C1_10_1,C1,BIH-ACO,2026,3,968 745 218 371 643 143 844 956 661,190.0,121.699767,931.699767,True
C1_10_1,C1,BIH-ACO,2026,4,581 933 52 335 368 654 918 530 444 699 59 140,200.0,132.802463,1212.802463,True
C1_10_1,C1,BIH-ACO,2026,5,488 667 211 359 442 804 715 888 923,170.0,151.121949,961.121949,True
C1_10_1,C1,BIH-ACO,2026,6,924 155 224 590,60.0,139.018677,499.018677,True
C1_10_1,C1,BIH-ACO,2026,7,130 725 612 904 855 13 78 794 971 628 376 817,200.0,179.436983,1259.436983,True
C1_10_1,C1,BIH-ACO,2026,8,638 72 573 337 613 947 588 439 751,200.0,169.149715,979.149715,True
C1_10_1,C1,BIH-ACO,2026,9,544 278 511 308 191 712 898 915,160.0,186.346831,971.00641,True
C1_10_1,C1,BIH-ACO,2026,10,997 69 694 796 951 495 420 566 21,180.0,204.035801,1014.035801,True
C1_10_1,C1,BIH-ACO,2026,11,836 87 585 365 120 521 996,160.0,191.366575,821.366575,True
C1_10_1,C1,BIH-ACO,2026,12,856 758 774 478 410 5 477 398,170.0,211.221509,931.221509,True
C1_10_1,C1,BIH-ACO,2026,13,473 109 77 417 424 90 395 519 728 65 186,190.0,239.381939,1229.381939,True
C1_10_1,C1,BIH-ACO,2026,14,985 884 305 30 136 900 644 25 1000,200.0,253.769765,1063.769765,True
C1_10_1,C1,BIH-ACO,2026,15,981 125 954 404 39 782 256 857 510,180.0,263.441964,1073.441964,True
C1_10_1,C1,BIH-ACO,2026,16,577 533 329 249 945 20 46 689 138 905 225,160.0,262.905413,1252.905413,True
C1_10_1,C1,BIH-ACO,2026,17,394 543 40 282 742 781 880 703 493,200.0,309.42412,1119.42412,True
C1_10_1,C1,BIH-ACO,2026,18,660 3 402 456 565 279 31 276 41,160.0,304.907145,1114.907145,True
C1_10_1,C1,BIH-ACO,2026,19,902 441 679 604 298 23,100.0,302.441174,961.723266,True
C1_10_1,C1,BIH-ACO,2026,20,963 726 801 987 466 193 670 646 263,200.0,296.498889,1106.498889,True
C1_10_1,C1,BIH-ACO,2026,21,306 294 504 766 343,90.0,292.280069,742.280069,True
C1_10_1,C1,BIH-ACO,2026,22,815 658 656 771 761 168 592 464 281 391,200.0,327.894583,1227.894583,True
C1_10_1,C1,BIH-ACO,2026,23,231 1 70 496 166 515 307 687 676,180.0,318.259925,1128.259925,True
C1_10_1,C1,BIH-ACO,2026,24,388 760 272 321 353 983 499 405 548,170.0,317.289379,1127.289379,True
C1_10_1,C1,BIH-ACO,2026,25,238 597 287 772 506 626 471 260,160.0,328.844392,1048.844392,True
C1_10_1,C1,BIH-ACO,2026,26,116 813 840 463 586 906 541 886 174 522,140.0,341.080716,1241.080716,True
C1_10_1,C1,BIH-ACO,2026,27,941 32 520 357 686 243 327 348,170.0,335.459338,1055.459338,True
C1_10_1,C1,BIH-ACO,2026,28,623 734 228 107 776 162 992 583,180.0,322.712429,1065.211502,True
C1_10_1,C1,BIH-ACO,2026,29,914 362 621 969 213 251 455 252 86 485,160.0,329.249247,1229.249247,True
C1_10_1,C1,BIH-ACO,2026,30,66 545 778 129 8 491 821 150 383 695 297,200.0,345.758775,1335.758775,True
C1_10_1,C1,BIH-ACO,2026,31,599 976 458 798 10 591 141 239 220 55 883,180.0,400.690141,1390.690141,True
C1_10_1,C1,BIH-ACO,2026,32,819 999 246 943 723 920 227 850 828 433 567 161 71 862,200.0,339.623467,1599.623467,True
C1_10_1,C1,BIH-ACO,2026,33,562 148 291 57 131 593 953 560 418 159 374,180.0,342.179708,1391.600126,True
C1_10_1,C1,BIH-ACO,2026,34,854 783 640 861 339 457 748 325 673 735,200.0,345.364001,1245.364001,True
C1_10_1,C1,BIH-ACO,2026,35,167 293 542 928 952 619 446 396 733 15 73 741 469,200.0,367.011381,1537.011381,True
C1_10_1,C1,BIH-ACO,2026,36,411 563 986 938 818 910 27 189 153 811,190.0,366.423897,1327.768021,True
C1_10_1,C1,BIH-ACO,2026,37,655 755 312 702 199 737 873 576,120.0,351.631713,1071.631713,True
C1_10_1,C1,BIH-ACO,2026,38,435 250 629 829 523 117 768 657 863 330 248 826,200.0,413.451667,1493.451667,True
C1_10_1,C1,BIH-ACO,2026,39,336 508 254 152 112 157 29 757 101 392 453 860 283 221,200.0,410.714404,1670.714404,True
C1_10_1,C1,BIH-ACO,2026,40,285 356 472 393 967 474 688 315 518,170.0,424.118823,1234.118823,True
C1_10_1,C1,BIH-ACO,2026,41,380 44 4 17 9 89 18 105 97 919 666,180.0,417.369643,1407.369643,True
C1_10_1,C1,BIH-ACO,2026,42,38 859 262 63 618 632 366 192 929,190.0,440.656316,1291.816498,True
C1_10_1,C1,BIH-ACO,2026,43,611 940 534 738 807 314 770 617,190.0,423.483523,1143.483523,True
C1_10_1,C1,BIH-ACO,2026,44,122 322 627 462 698 559 172 569 310,170.0,594.399581,1751.991166,True
C1_10_1,C1,BIH-ACO,2026,45,652 823 258 317 958 505 142 516 176,180.0,551.860521,1443.45315,True
C1_10_1,C1,BIH-ACO,2026,46,648 949 197 767 214 198 64 589,160.0,425.530359,1145.530359,True
C1_10_1,C1,BIH-ACO,2026,47,931 173 151 137 930 756,160.0,419.9493,959.9493,True
C1_10_1,C1,BIH-ACO,2026,48,977 390 352 600 870 786 274 869,190.0,446.478547,1166.478547,True
C1_10_1,C1,BIH-ACO,2026,49,212 633 324 421 369 261 838 697 814,150.0,442.296523,1252.296523,True
C1_10_1,C1,BIH-ACO,2026,50,451 476 578 346 443 354 555 342 558 549,150.0,491.243162,1391.243162,True
C1_10_1,C1,BIH-ACO,2026,51,780 479 300 965 204 677 921 989 917,180.0,470.955185,1280.955185,True
C1_10_1,C1,BIH-ACO,2026,52,106 158 81 385 537 124 816 412 160,200.0,455.558608,1265.558608,True
C1_10_1,C1,BIH-ACO,2026,53,386 792 901 909 259 319 145 803 165 128 691 668 874,190.0,462.144835,1632.144835,True
C1_10_1,C1,BIH-ACO,2026,54,487 255 899 289 572 950 423 85 554 233 881 650,190.0,464.946917,1544.946917,True
