instance,group,algorithm,seed,route_id,customer_sequence,load,distance,travel_time,feasible
C1_10_1,C1,GWO,2026,1,964,10.0,101.192885,529.596443,True
C1_10_1,C1,GWO,2026,2,599 712 448,70.0,919.686131,1411.974192,True
C1_10_1,C1,GWO,2026,3,711 429,40.0,998.93642,1214.647752,True
C1_10_1,C1,GWO,2026,4,60,10.0,649.199507,1071.599754,True
C1_10_1,C1,GWO,2026,5,62,10.0,494.222622,1468.111311,True
C1_10_1,C1,GWO,2026,6,945 724,40.0,819.717576,1380.172363,True
C1_10_1,C1,GWO,2026,7,81 86,50.0,493.091402,1110.07614,True
C1_10_1,C1,GWO,2026,8,422,10.0,510.360657,1120.180328,True
C1_10_1,C1,GWO,2026,9,735,10.0,314.127363,1218.063681,True
C1_10_1,C1,GWO,2026,10,417,10.0,226.636272,566.318136,True
C1_10_1,C1,GWO,2026,11,457,10.0,333.160622,849.580311,True
C1_10_1,C1,GWO,2026,12,93,10.0,549.301374,883.650687,True
C1_10_1,C1,GWO,2026,13,948 923,40.0,597.311551,929.024636,True
C1_10_1,C1,GWO,2026,14,398 753,30.0,510.028904,1470.133296,True
C1_10_1,C1,GWO,2026,15,397,20.0,537.557439,1143.778719,True
C1_10_1,C1,GWO,2026,16,121,20.0,611.359142,850.679571,True
C1_10_1,C1,GWO,2026,17,477,30.0,189.409609,809.704805,True
C1_10_1,C1,GWO,2026,18,702 748,40.0,339.816017,946.090337,True
C1_10_1,C1,GWO,2026,19,886,10.0,319.606007,1025.803004,True
C1_10_1,C1,GWO,2026,20,475 907,20.0,505.178391,1077.473193,True
C1_10_1,C1,GWO,2026,21,585,30.0,178.404036,430.202018,True
C1_10_1,C1,GWO,2026,22,407 379,30.0,1040.668815,1482.680378,True
C1_10_1,C1,GWO,2026,23,368,20.0,112.160599,526.0803,True
C1_10_1,C1,GWO,2026,24,384,30.0,643.543316,733.543316,True
C1_10_1,C1,GWO,2026,25,164 138 140,50.0,789.856614,1185.354162,True
C1_10_1,C1,GWO,2026,26,136,10.0,237.191905,667.595953,True
C1_10_1,C1,GWO,2026,27,486 566,40.0,546.552324,891.27797,True
